	Year_Birth	Kidhome	Marital_Status	Teenhome	movies	ID
0	1957	0	Single	0	['50641' '94894' '11477' '35464' '228205']	0
1	1954	1	Single	1	['6498' '277967' '52337' '233444' '57829']	1
2	1965	0	Together	0	['61863' '30575' '8975' '30527' '53883']	2
3	1984	1	Together	0	['25016' '40722' '36301' '35207' '114521']	3
4	1981	1	Married	0	['47595' '41827' '312101' '38223' '14234']	4
5	1967	0	Together	1	['10531' '28013' '384594' '5176' '17302']	5
6	1971	0	Divorced	1	['110588' '102337' '18557' '38982' '30071']	6
7	1985	1	Married	0	['106129' '354128' '64836' '966' '8768']	7
8	1974	1	Together	0	['50425' '27624' '70971' '43828' '211144']	8
9	1950	1	Together	1	['61984' '11928' '13523' '86215' '57012']	9
10	1983	1	Married	0	['482' '52685' '18274' '90967' '261855']	10
11	1976	0	Married	0	['248469' '76649' '22975' '99650' '47874']	11
12	1959	0	Divorced	0	['43888' '9771' '218582' '22454' '80849']	12
13	1952	1	Divorced	1	['72882' '26581' '332742' '297505' '175528']	13
14	1987	0	Married	0	['13700' '1812' '264656' '18781' '14842']	14
15	1946	0	Single	0	['300210' '103489' '156415' '20616' '67429']	15
16	1980	1	Married	1	['65898' '434873' '134308' '319656' '14786']	16
17	1946	0	Together	0	['11864' '28391' '20283' '6878' '42791']	17
18	1949	0	Married	1	['288292' '25623' '226458' '383869' '130322']	18
19	1985	1	Single	0	['55524' '63172' '43209' '308447' '86321']	19
20	1982	0	Married	0	['27917' '49494' '19505' '270306' '10915']	20
21	1979	1	Married	0	['81273' '127901' '230743' '85483' '5728']	21
22	1949	0	Married	1	['300671' '40461' '288193' '41811' '1934']	22
23	1954	0	Married	1	['232943' '250686' '10472' '96717' '49500']	23
24	1951	0	Together	1	['31398' '42129' '82626' '10136' '36273']	24
25	1969	0	Single	0	['406992' '28679' '87245' '73335' '80368']	25
26	1976	1	Married	1	['38376' '80659' '226792' '75086' '62116']	26
27	1986	1	Single	0	['21533' '15323' '72440' '38557' '2757']	27
28	1989	1	Married	0	['188102' '29242' '357106' '15512' '44479']	28
29	1965	0	Married	0	['84656' '44680' '1841' '32076' '103502']	29
30	1989	0	Divorced	0	['16986' '28770' '1837' '245597' '11878']	30
31	1963	0	Together	0	['43779' '41969' '46196' '132422' '195796']	31
32	1970	0	Together	1	['62134' '298165' '38153' '30123' '130917']	32
33	1952	0	Divorced	2	['81619' '227334' '46584' '248543' '280874']	33
34	1946	0	Married	0	['118075' '71206' '35650' '51394' '195522']	34
